Date,Close,High,Low,Open,Volume
2018-01-01,2309.315673828125,2309.315673828125,2309.315673828125,2309.315673828125,0
2018-01-02,2309.315673828125,2309.315673828125,2309.315673828125,2309.315673828125,0
2018-01-03,2309.315673828125,2309.315673828125,2309.315673828125,2309.315673828125,0
2018-01-04,2329.234130859375,2334.9251043030104,2300.7792636411978,2311.754712425352,2632300
2018-01-05,2343.461669921875,2345.494160528919,2312.567812694804,2332.4862206438365,2415800
2018-01-08,2343.461669921875,2343.461669921875,2343.461669921875,2343.461669921875,0
2018-01-09,2331.67333984375,2339.8033026744465,2322.323882588449,2332.079837985285,2620200
2018-01-10,2278.0146484375,2308.9084944905426,2277.608150463118,2301.591530951664,2835700
2018-01-11,2224.357666015625,2273.9504356161196,2221.105681123789,2266.633469609489,4168400
2018-01-12,2208.09765625,2222.7315876979014,2196.7157095682987,2207.28466005845,3104300
2018-01-15,2176.79736328125,2210.943204273897,2173.9518765318626,2198.3417629551823,2447700
2018-01-16,2180.455810546875,2193.0572516592824,2172.7323466392704,2174.7648371412715,1545100
2018-01-17,2216.227294921875,2225.5767497610536,2193.463404878657,2211.3493184840427,3399900
2018-01-18,2184.114501953125,2238.585252606711,2183.301505674713,2231.6747842402115,2673300
2018-01-19,2208.91015625,2225.1700764285056,2186.5527660045545,2195.0892240982703,2302200
2018-01-22,2261.348388671875,2261.7548866745124,2200.780186278902,2215.4141143738484,2538700
2018-01-23,2310.12841796875,2310.534916018718,2272.7305973716843,2275.5760837214607,2809000
2018-01-24,2304.4375,2312.56746119245,2293.868550449815,2304.4375,2317700
2018-01-25,2300.779052734375,2312.973994709999,2268.2592074660447,2293.0555894831464,2829500
2018-01-26,2288.177490234375,2305.2504080865415,2277.608541087796,2300.7789296014503,2310800
2018-01-29,2287.770751953125,2297.52670398704,2281.2667839305145,2291.8357319672564,1954300
2018-01-30,2261.348388671875,2293.46173088023,2249.966444598028,2281.673288803745,2625400
2018-01-31,2212.162109375,2274.35630318874,2211.755611376217,2251.185917258131,3554300
2018-02-01,2261.348388671875,2264.193874690337,2221.9180824160467,2221.9180824160467,1912400
2018-02-02,2277.608154296875,2280.860138097406,2243.868822366366,2248.340300092096,1860900
2018-02-05,2205.252197265625,2281.6738402307747,2204.03270296299,2268.259402901786,2409800
2018-02-06,2066.229248046875,2126.3909495442067,2031.270421501128,2123.9519616456664,4518900
2018-02-07,2084.115478515625,2152.813648179979,2084.115478515625,2090.212949195893,3907300
2018-02-08,2089.806640625,2114.196525557406,2075.1727096655563,2087.774150213966,2150600
2018-02-09,2056.067138671875,2063.790601628531,2031.270757600506,2031.6772556508563,3193700
2018-02-12,2056.067138671875,2056.067138671875,2056.067138671875,2056.067138671875,0
2018-02-13,2036.96142578125,2077.2047267495886,2029.6444619688248,2073.1397468537966,3212900
2018-02-14,2068.26171875,2073.952690460397,2038.9938642393868,2042.6523460532135,2908400
2018-02-15,2212.56884765625,2237.771726317776,2170.2930511917543,2190.2114552952185,5343200
2018-02-16,2240.21044921875,2250.779397082965,2188.585203882009,2201.186641720111,4372800
2018-02-19,2292.64892578125,2299.1528943650264,2243.4626633664393,2254.4381103515625,3103400
2018-02-20,2269.07177734375,2312.9735602088745,2253.2183557535664,2286.5511908919016,2943300
2018-02-21,2267.039306640625,2282.8927283653848,2253.624872873521,2265.006816675912,2191200
2018-02-22,2235.739013671875,2244.2754717240764,2218.6660975674713,2235.739013671875,1915200
2018-02-23,2234.9267578125,2247.934698199914,2210.943367723206,2235.739754086713,1462000
2018-02-26,2303.218017578125,2310.5349826886804,2250.7797676191453,2269.072180395534,2551900
2018-02-27,2273.949951171875,2312.9737615602376,2267.8524807986933,2312.9737615602376,2220700
2018-02-28,2258.909423828125,2276.3888381208385,2242.243005549026,2251.1859616987863,2978500
2018-03-01,2226.796142578125,2243.056063297936,2215.4141980742575,2236.5520950100117,2409100
2018-03-02,2214.19482421875,2218.666302659434,2178.8294947333393,2186.146459454459,2747100
2018-03-05,2245.494873046875,2246.3078690182897,2205.658070447564,2208.503556347515,2435600
2018-03-06,2257.283447265625,2276.3888537164594,2232.4870686804993,2275.5758576972753,2999700
2018-03-07,2256.87744140625,2282.486821595118,2241.430513673282,2245.4954946556422,2945200
